Retailer,Vendor,Category,Name,Price,Product Link,Description,Product Details,Description Lexical Diversity,Description Length,Materials,Size Guide,Luxury Tier,Number of pictures,Image Links
La Garconne,Norlha,SCARF,Split Cape — Night,880.0,https://lagarconne.com/collections/all/products/fw25nh010-norlha-split-cape-night,"Norlha night black oversized open-front cape crafted in pure yak down. Features an elongated back and generous draping throughout. It can be worn like a blanket, wrapped around or slung over the body.",Color: Night. 100% Yak Khullu. Handwoven in Tibet.,100.0,33,['yak khullu'],True,Accessible Luxury,3,https://lagarconne.com/cdn/shop/files/Feb2021Session12861_TMHILHPS20_S_1ede0edc-e267-4ef8-9152-ee94504a4fbf_4096x4096.jpg?v=1765313217
La Garconne,Norlha,SCARF,Split Cape — Natural Yak Grey,880.0,https://lagarconne.com/collections/all/products/fw25nh009-norlha-split-cape-natural-yak-grey,"Norlha natural grey oversized open-front cape crafted in pure yak down. Features an elongated back and generous draping throughout. It can be worn like a blanket, wrapped around or slung over the body.",Color: Natural Yak Grey. 100% Yak Khullu. Handwoven in Tibet.,100.0,33,['yak khullu'],True,Accessible Luxury,6,https://lagarconne.com/cdn/shop/files/Feb2021Session13042_TMHILHPS20_S_4096x4096.jpg?v=1765303921
La Garconne,Norlha,SCARF,Nomad Classic Scarf,425.0,https://lagarconne.com/collections/all/products/fw25nh011-norlha-nomad-classic-scarf,Norlha midnight blue signature rectangular scarf with fringed edges handwoven in dense yak wool sourced from local nomad cooperatives in Tibet.,Color: Midnight Blue. 100% Yak Khullu. Handwoven in Tibet.,95.24,21,"['wool', 'yak khullu']",False,Affordable fashion,3,https://lagarconne.com/cdn/shop/files/Feb2021Session13308_TMHILHPS20_S1_4096x4096.jpg?v=1765297742
La Garconne,Norlha,SCARF,Nomad Classic Skinny Scarf — Natural Yak Grey,295.0,https://lagarconne.com/collections/all/products/fw25nh008-norlha-nomad-classic-skinny-scarf-natural-yak-grey,Norlha natural grey signature rectangular scarf with fringed edges handwoven in dense yak wool sourced from local nomad cooperatives in Tibet.,Color: Natural Yak Grey. 100% Yak Khullu. Handwoven in Tibet.,95.24,21,"['wool', 'yak khullu']",False,Affordable fashion,2,https://lagarconne.com/cdn/shop/files/Feb2021Session13309_TMHILHPS20_S_c2dc869a-11ae-4ae2-a03c-4220391e7946_4096x4096.jpg?v=1765297561
La Garconne,Norlha,SCARF,Nomad Classic Skinny Scarf — Black,260.0,https://lagarconne.com/collections/all/products/fw25nh007-norlha-nomad-classic-skinny-scarf-black,Norlha black signature rectangular scarf with fringed edges handwoven in dense yak wool sourced from local nomad cooperatives in Tibet.,Color: Black. 100% Yak Khullu. Handwoven in Tibet.,95.0,20,"['wool', 'yak khullu']",False,Affordable fashion,1,https://lagarconne.com/cdn/shop/files/Feb2021Session13314_TMHILHPS20_S_677956e5-4b86-4e6e-b213-23b50be7ce78_4096x4096.jpg?v=1765298319
La Garconne,Norlha,SCARF,Nomad Pilgrimage Scarf,165.0,https://lagarconne.com/collections/all/products/fw25nh006-norlha-nomad-pilgrimage-scarf,Norlha black and natural rectangular scarf with cropped fringed edges handwoven in dense yak wool sourced from local nomad cooperatives in Tibet.,Color: Black & Natural Yak White. 100% Yak Khullu. Handwoven in Tibet.,95.45,22,"['wool', 'yak khullu']",False,Affordable fashion,4,https://lagarconne.com/cdn/shop/files/yak1_c900a4bb-fd8d-4ae8-940c-afebdafe4106_4096x4096.png?v=1765316943
La Garconne,Norlha,SCARF,Nomad Net Crest Scarf,455.0,https://lagarconne.com/collections/all/products/fw25nh005-norlha-nomad-net-crest-scarf,Norlha natural white rectangular scarf with raw fringing in soft yak wool sourced from local nomad cooperatives in Tibet.,Color: Natural Yak White. 100% Yak Khullu. Handwoven in Tibet.,94.74,19,"['wool', 'yak khullu']",False,Affordable fashion,3,https://lagarconne.com/cdn/shop/files/Feb2021Session13322_TMHILHPS20_S_4096x4096.jpg?v=1765296965
La Garconne,Norlha,SCARF,Nomad Net Scarf,550.0,https://lagarconne.com/collections/all/products/fw25nh004-norlha-nomad-net-scarf,Norlha natural pink oversized rectangular scarf with raw fringing in soft yak wool sourced from local nomad cooperatives in Tibet.,Color: Pink. 100% Yak Khullu. Handwoven in Tibet.,95.0,20,"['wool', 'yak khullu']",False,Accessible Luxury,2,https://lagarconne.com/cdn/shop/files/Feb2021Session13318_TMHILHPS20_S_4096x4096.jpg?v=1765298604
La Garconne,Norlha,SCARF,Nomad Net Boiled Skinny Scarf,325.0,https://lagarconne.com/collections/all/products/fw25nh003-norlha-nomad-net-boiled-skinny-scarf,"Norlha dark khaki green rectangular scarf with frayed edges handwoven in soft yak wool lightly boiled for a dense, fleece-like touch. Sourced from local nomad cooperatives in Tibet.",Color: Deep Green. 100% Yak Khullu. Handwoven in Tibet.,96.43,28,"['wool', 'yak khullu']",False,Affordable fashion,1,https://lagarconne.com/cdn/shop/files/Feb2021Session13317_TMHILHPS20_S_4096x4096.jpg?v=1765298392
La Garconne,Norlha,SCARF,Nomad Net Boiled Scarf — Ash Grey,425.0,https://lagarconne.com/collections/all/products/fw25nh001-norlha-nomad-net-boiled-scarf-ash-grey,Norlha ash grey oversized rectangular scarf with frayed edges handwoven in soft yak wool sourced from local nomad cooperatives in Tibet.,Color: Ash Grey. 100% Yak Khullu. Handwoven in Tibet.,95.24,21,"['wool', 'yak khullu']",False,Affordable fashion,2,https://lagarconne.com/cdn/shop/files/Feb2021Session13311_TMHILHPS20_S_4096x4096.jpg?v=1765298481
La Garconne,Loulou de Saison,SWEATER,Pia Cashmere Crewneck Sweater — Red,770.0,https://lagarconne.com/collections/all/products/ss26ll005-loulou-de-saison-pia-01-crewneck-sweater-red,"Loulou de Saison red crewneck sweater with dropped shoulders in dense pure cashmere knit. Features ribbed trim finishings at neck, cuffs and hem. Relaxed, boxy fit.",Color: Red. 100% Cashmere. Made in Italy.,100.0,26,['cashmere'],True,Accessible Luxury,4,https://lagarconne.com/cdn/shop/files/Feb2021Session12881_TMHILHPS20_S_ebf8c2ae-e25b-4544-85e9-a0cf40151557_4096x4096.jpg?v=1765229506
La Garconne,Loulou de Saison,SWEATER,Pia Cashmere Crewneck Sweater — Anthracite Melange,770.0,https://lagarconne.com/collections/all/products/ss26ll004-loulou-de-saison-pia-01-crewneck-sweater-anthracite-melange,"Loulou de Saison anthracite grey crewneck sweater with dropped shoulders in dense pure cashmere knit. Features ribbed trim finishings at neck, cuffs and hem. Relaxed, boxy fit.",Color: Anthracite Melange. 100% Cashmere. Made in Italy.,100.0,27,['cashmere'],True,Accessible Luxury,4,https://lagarconne.com/cdn/shop/files/Feb2021Session13054_TMHILHPS20_S_4096x4096.jpg?v=1765229619
La Garconne,Loulou de Saison,SWEATER,Clyde Cashmere Crochet Sweater,745.0,https://lagarconne.com/collections/all/products/ss26ll002-loulou-de-saison-clyde-01-3d-shell-knit-sweater,"Loulou de Saison brown crewneck sweater with dropped shoulders in lightweight pure cashmere knit with a 3D crocheted seashell motif. Features ribbed trim finishings at neck, cuffs and hem. Regular fit.",Color: Brown Melange. 100% Cashmere. Made in Italy.,96.77,31,['cashmere'],True,Accessible Luxury,4,https://lagarconne.com/cdn/shop/files/Feb2021Session12865_TMHILHPS20_S_3b0bd9d1-3220-4ced-b082-4b59f5932d29_4096x4096.jpg?v=1765229698
La Garconne,Fforme,TOP,Romi Scuba T-Shirt,395.0,https://lagarconne.com/collections/all/products/ps26fo005-fforme-romi-scuba-t-shirt,Fforme black pullover short sleeve t-shirt with an elongated bodice in stretch scuba jersey. Features a crew neck and set-in shoulders. Closer fit.,"Color: Black. 86% Polyamide, 14% Elastane . Made in Italy.",100.0,23,['polyamide'],True,Affordable fashion,4,https://lagarconne.com/cdn/shop/files/Feb2021Session12783_TMHILHPS20_S_4096x4096.jpg?v=1765226275
